price,price_range_min,price_range_max,location,brand,model,km_driven,vehicle_type,engine_capacity,origin,description,age,Brand_Model
13.5,11.43,13.42,Quận 7,Honda,Dylan,60000,Tay ga,100 - 175 cc,Nhật Bản,bán xe dylan Nhà dư cần bán dylan odo 60.000 xe ít đi còn rất mới,10,Honda Dylan
10.5,7.98,9.37,Quận 7,Yamaha,Sirius,56000,Xe số,100 - 175 cc,Nhật Bản,XE NHÀ BÁN ĐỔI XE TAY GAS XE ZIN TOAN BỘ MÁY ZIN XE NHÀ BÁN XE TAT CẢ CÒN ZIN MÁY CHƯA LÀM MÁY BIEN SO TP RA CÔNG CHỨNG LIỀN TAY TUY KHÁCH CHỌN LỰA XE NỮ CHẠY KĨ ĐI LAM GẦN NHÀ NÊN HƠI TRẦY DÀN NGOÀI 1TÍ THÔI CAM ON VÀ TIẾP NGƯỜI THIEN CHỊ,9,Yamaha Sirius
38.5,41.13,48.28,Quận 7,Honda,PCX,28000,Tay ga,100 - 175 cc,Việt Nam,PCX 150i bstp xe đẹp 95% Máy móc êm ru như xe điện giấy tờ đầy đủ không chính chủ biển số thành phố mua bán bao trang chấp toàn quốc,6,Honda PCX
7.8,6.47,7.6,Quận 7,SYM,Angela,50,Xe số,100 - 175 cc,Nhật Bản,"Sym angel 110c máy móc zin em ru dàn ngoài sạch sẽ Angel 110c máy móc zin em ru bảo dưỡng sạch sẽ từ trong ra ngoài..
*** long",11,SYM Angela
10.5,13.66,16.04,Quận 7,Honda,Wave,80000,Xe số,100 - 175 cc,Nhật Bản,"dư xe cần bán wave anpha Bán xe wave như hình, xe chạy bình thường, mình dư xe cần bán. Xe biển tỉnh cà mau

Ae thiện chí alo",4,Honda Wave
7,34.12,40.05,Quận 7,Piaggio,Vespa,20000,Tay ga,Không biết rõ,Việt Nam,Xe mới mua cửa hàng kẹt tiền cần bán lại Xe zin giấy tờ đầy đủ mới mua của cửa hàng đc 3 tuần kẹt tiền bán lỗ lại,0,Piaggio Vespa
32,35.7,41.9,Quận 7,Piaggio,Vespa,39000,Tay ga,100 - 175 cc,Đang cập nhật,"vespa primavera 2017, Đen. BS chính chủ. Anh em nào đang cần một chiếc xe chạy ngon – giá hợp lý thì tham khảo ngay em này nhé! Xe nhà đi kỹ, giữ gìn cẩn thận, giờ muốn nhượng lại cho người có nhu cầu.

🔹 Dòng xe: Vespa Primavera
🔹 Biển số: Biển tỉnh, giấy tờ chính chủ
🔹 Odo: 39.000 – Chạy nhẹ nhàng, ít hao xăng
🔹 Màu sắc: Đen
🔹 Tình trạng:
✔️ Máy móc nguyên zin, nổ êm, chạy bốc
✔️ Xe chưa từng tai nạn, chưa ngập nước
✔️ Biển số chính chủ, giấy tờ đầy đủ, công chứng ngay
Mình ở Q7, Sài Gòn. Mình chỉ bán trực tiếp, làm giấy tờ mua bán, không làm uỷ quyền. Cảm ơn mọi người",8,Piaggio Vespa
70,72.53,85.14,Quận 7,Piaggio,Vespa,4000,Tay ga,100 - 175 cc,Việt Nam,"Xe Tay Ga Vespa Print Piaggio 2024 Đỏ Như Mới Xe mua mới. chạy cá nhân, mình đi nước ngoài nên ko sử dụng nữa cần bán lại.
Xe như mới, đi 4000km
Cần nhượng lại với giá 70tr
Ai có nhu cầu LH với mình. Cảm ơn!",1,Piaggio Vespa
33,17.14,20.13,Quận 7,Honda,Future,19600,Xe số,100 - 175 cc,Thái Lan,"Fu2 up wave 125 máy dream 125 bstp 9c dọn kiểng Dư xe cần bán fu2 up full đồ wave thái 125 áo dán keo có bể vài chổ , full ghi đông đồng hồ choá đuôi cảng wave 125 , full cục máy dream 125 thái đời cao sàn qua đầu lòng bơm hơi khoan mắt đọc nhông chuẩn zin , báo xăng zin chuẩn zin , bóng đèn led siêu sáng , yên , bộ rỗ bát xi keng cnc Satria , niềng DID căm nova vỏ Quick thái , full cốt ốc salaya , heo SH zin , đĩa ex lòng nhôm zin , nice zin , bay tay CRV xịn êm ái . Bstp 9 nút chính chủ ký sang tên",20,Honda Future
40,40.61,47.67,Quận 7,Honda,SH,20000,Tay ga,100 - 175 cc,Nước khác,"sh ý 2008 Xe đẹp
Máy bao êm
Xe rớt đầu đẹp 
Chính chủ 
Anh em nhắn tin lấy số điện thoại zalo",17,Honda SH
7,6.68,7.84,Quận 7,Honda,Lead,15000,Tay ga,100 - 175 cc,Đang cập nhật,"Xe lead gia đình đi về quê nên bán Xe lead gia đình đi 
Xe tốt 
Lướt như phi cơ",15,Honda Lead
6.8,7.55,8.86,Quận 7,SYM,Attila,30000,Tay ga,100 - 175 cc,Hàn Quốc,Cần bán trong hôm này Bán ati biển số tỉnh bạc liêu giấy tờ đầy đủ xe máy 125 máy cực kỳ êm ru không có tiếng động lạ ai mua lh e bớt nhanh cho người thiện chí mua bán viết giấy tại nhà,9,SYM Attila
9,7.62,8.94,Quận 7,Honda,Air Blade,49000,Tay ga,100 - 175 cc,Việt Nam,"Cần bán xe AB 2008 còn tốt - Chính chủ cần bán AB 2008 còn tốt - 49.000km.
- Chuyển nhượng công chứng HĐMB, giấy tờ đầy đủ;
- Xem xe Quận 7 - Chung cư The Golden Star.",17,Honda Air Blade
24.9,21.51,25.25,Quận 7,Honda,Future,28364,Xe số,100 - 175 cc,Việt Nam,Future neo 2007 lh *** Future neo 2007 dọn new mới từ trong ra ngoài,18,Honda Future
17,16.31,19.14,Quận 7,Honda,Wave,1500,Xe số,100 - 175 cc,Việt Nam,SĐT *** Xe mình không đi nữa cần bán lại cho anh em nào có nhu cầu nha xe mình mới mua đây thôi nên anh em cứ yên tâm mua về đi thôi không vải xe thay hay hư hỏng j cả biển Thanh Hoá nha ae,1,Honda Wave
46,44.41,52.13,Quận 7,Honda,SH,38000,Tay ga,100 - 175 cc,Việt Nam,"SHVN 150i SHVN 150i . Xe chạy rất êm còn nguyên chưa đụng chạm gì máy móc , chạy rất kĩ . Giấy tờ đầy đủ chính chủ . Chỉ tiếp người trực tiếp mua .",9,Honda SH
3.1,2.81,3.3,Quận 7,Kawasaki,Max,686868,Xe số,50 - 100 cc,Hàn Quốc,"Xe max đi làm Bán cho ai cần, giấy tờ đầy đủ, bs TP, xe zin, máy cực êm, đầy đủ chức năng, kv HCM có ship",15,Kawasaki Max
90,17.78,20.87,Quận 7,Benelli,Dòng khác,52000,Tay côn/Moto,Trên 175 cc,Đang cập nhật,"BÁN XE BENELI TRK502 🔥 BÁN XE BENELLI TRK502 

📌 Thông tin xe:
✔️ Dòng xe: Benelli TRK502
✔️ Biển số: 59A3-xxx.xx
✔️ Màu sắc: Xám (đã dán tem đen)
✔️ Số km đã chạy: 52.000km
✔️ Trang bị: 3 thùng đầy đủ, pô zin còn nguyên
✔️ Tình trạng: Xe chính chủ, giấy tờ đầy đủ, đăng ký năm 2023
✔️ Mô tả: Xe chủ yếu chạy vòng quanh Sài Gòn, để dưới chung cư, do đi công tác nhiều nên ít sử dụng. Máy móc còn rất tốt, pô zin đầy đủ, xe đã dán tem đen nhìn mạnh mẽ và thể thao hơn.

💰 Giá cả: 90tr thương lượng

📞 Liên hệ: *** Tấn

📍 Xem xe tại: Quận 7, hcm

Ai quan tâm inbox hoặc gọi trực tiếp để trao đổi chi tiết!


---",2,Benelli Dòng khác
20.5,15.75,18.49,Quận 7,Yamaha,Exciter,19330,Tay côn/Moto,100 - 175 cc,Nhật Bản,"Xe chùm mền it đi Do kẹt tiền, tôi cần bán xe chính chủ , xe tâm quyết đã giữ gìn đến nay máy năm nay anh em cần liên hệ nhé còn thương lượng 
xin cảm ơn choi tot đã duyệt bài.",8,Yamaha Exciter
23.8,21.87,25.67,Quận 7,Honda,Vision,35000,Tay ga,100 - 175 cc,Đang cập nhật,"Xe Vision smartkey 2020 Bstp
Chính chủ công chứng sáng tên
Xe zin từ kính đến máy,bao test
Khoá smartkey 2 chìa
Công chứng liền
Xe đang dùng máy êm ru",5,Honda Vision
23.8,21.87,25.67,Quận 7,Honda,Vision,35000,Tay ga,100 - 175 cc,Đang cập nhật,"Xe Vision Fi sport 2020 Biển sổ thành phố
Chính chủ sang tên công chứng
Khoá smartkey (2 chìa) 
Xe zin từ kính đến máy
Bao test máy
Xe co trầy xước nhẹ ko đáng kể,đẹp
Chính chủ giấy tờ đầy đủ",5,Honda Vision
8.7,37.72,44.28,Quận 7,Honda,CD,100000,Tay côn/Moto,50 - 100 cc,Nhật Bản,"Honda 67 màu trắng đen Em bán lại honda 67 màu trắng đen
Xe em còn đẹp chạy rất phê và chất
Máy có lên đầu lòng 100 êm ru mượt
Anh chị mua chạy nhìn rất chất
Đèn xinhan đầy đủ
Xe em càvet số khung số máy trùng biển số ạ
Biển tiền giang
Xin cám ơn",46,Honda CD
25,12.1,14.2,Quận 7,Piaggio,LX,30000,Tay ga,100 - 175 cc,Việt Nam,"Piago LXV nhà dư xe cần bán Xe đang dùng, loại này đi kiểu dáng đẹp, bền, phun xăng nên cũng không hao xăng, đề êm - không kêu . Không còn nhu cầu sử dụng nữa nên bán. Mua về chỉ đỗ xăng không phải tốn bất kỳ chi phía nào. Biển số đẹp Q1để cho bạn tiếp tục dùng mà không phải tốn phí gì nữa",11,Piaggio LX
8.5,6.83,8.02,Quận 7,Yamaha,Luvias,1,Tay ga,100 - 175 cc,Nhật Bản,Luvias FI Bán luvias FI xe mới giọn.máy móc êm ru..giọn để đi mà giờ đổi xe khác nên cần bán lại.qt ib,12,Yamaha Luvias
18.9,9.61,11.29,Quận 7,Piaggio,Zip,3300,Tay ga,50 - 100 cc,Việt Nam,"Xe Piaggio Zip 2021! Tình trạng giấy tờ đầy đủ thoải mái
Xe ít chạy",4,Piaggio Zip
22.5,21.87,25.67,Quận 7,Honda,Vision,40000,Tay ga,100 - 175 cc,Nước khác,"Xe vision khoá smartkey ,đăng ki 2020 Bstp
Xe nguyên zin, chưa rớt đầu
Đề ti nhan đầy đủ full chức năng
Bao test thoải mái , máy êm ru
Dàn áo đẹp
Công chứng liền trong ngày
Xe chính chủ công chứng",5,Honda Vision
55,37.85,44.43,Quận 7,Honda,Air Blade,3568,Tay ga,100 - 175 cc,Việt Nam,Do nhu cầu không sử dụng Xe mới 99% xe ít đi bảo dưỡng chính hãng .,1,Honda Air Blade
3,3.25,3.81,Quận 7,Suzuki,Hayate,99999,Tay ga,100 - 175 cc,Đang cập nhật,"ĐỔI XE BÁN HAYATE Mình mua xe khác nên chuyển nhượng bạn nào đang cần 1 con xe cày cuốc nhé. 
Xe đang sử dụng bình thường. Giấy tờ tay, cavet xe đầy đủ và giấy tờ tay từ chủ cũ nhé.",17,Suzuki Hayate
3.2,17.45,20.48,Quận 7,Honda,Wave,686868,Xe số,50 - 100 cc,Hàn Quốc,"Xe Wave đi làm Bán cho ai cần, xe còn đẹp, sạch sẽ, giấy tờ đầy đủ, đi cày bừa tốt, kV HCM có ship",25,Honda Wave
12.5,10.54,12.37,Quận 7,Honda,Vision,15000,Tay ga,100 - 175 cc,Nhật Bản,"vision xanh Xe máy cực êm
Xe chính chủ 
Còn bớt cho anh em thiện chí nhanh lẹ
Lien he ***",13,Honda Vision
10.5,10.02,11.76,Quận 7,Honda,Air Blade,20000,Tay ga,100 - 175 cc,Việt Nam,"cần bán ab 2011biển sg Nhà dư xe cần bán chiếc ab 2011 
Bs Sài Gòn 5s
Máy êm zin ngon",14,Honda Air Blade
7.8,38.07,44.69,Quận 7,Honda,Air Blade,9999,Tay ga,100 - 175 cc,Đang cập nhật,Bán xe AirBlade Fi 2012 Bstp xe đẹp máy êm. Bán xe AirBlade Fi 2012. Biển số thành phố. Giấy tờ đầy đủ. Xe đẹp máy êm. Dàn chân cứng cáp không sàn lắc. Điện đề kèn đèn công tơ mét báo xăng hoạt động ok hết. Cặp vỏ trước sau mới. Có bớt cho anh chị nhanh gọn lẹ. Mua gọi trực tiếp giúp em.,0,Honda Air Blade
68.8,14.27,16.76,Quận 7,Honda,Wave,1500,Xe số,100 - 175 cc,Thái Lan,"Wave Thái 125 Lướt Xe Mới Nguyên Zin. odi 1800KM. Còn sổ bảo hành đầy đủ.
Còn 2 chìa khoá zin
Xe Chỉ Trùm Mền. Dán Keo Nguyên Con
Giá Trên Còn Thương Lượng Nhẹ.",2,Honda Wave
1.85,3.04,3.56,Quận 7,Kawasaki,Max,5000,Xe số,Dưới 50 cc,Nước khác,"Xe max có giấy tờ máy mạnh Xe có xuất xứ rõ ràng.giấy tờ theo xe hợp lệ.
Máy mạnh.đèn sáng đẹp nhẹ là nổ
Giá bán đã rất rẻ.có bớt nhẹ xăng xe cho ai có thiện chí",14,Kawasaki Max
8.3,6.33,7.43,Quận 7,Yamaha,Sirius,40000,Xe số,100 - 175 cc,Việt Nam,"Bán sirius thái Bán sirius thái 2008, xe bst, xe dọn full mới, bánh mâm, đèn led. Bán tại nhà bao tranh chấp. ***",17,Yamaha Sirius
22,24.75,29.06,Quận 7,Honda,Winner X,17000,Tay côn/Moto,100 - 175 cc,Việt Nam,"E muốn bán có cà vạt giấy tờ xe đầy đủ Xe em đã đi được 2 năm máy còn tốt chưa qua sữa chữa,máy zin hợp thời trang thể thao
Lh e sđt ***",2,Honda Winner X
27,23.44,27.51,Quận 7,Honda,Winner X,300000,Tay côn/Moto,100 - 175 cc,Đang cập nhật,cần bán gấp trong hôm nay ae thiện chí ib xe chạy kĩ còn mới đẹp leng keng đã về mâm zin nhé ae thiện chí ib bớt cf không bớt nhiều được nha !,3,Honda Winner X
8.7,9.73,11.42,Quận 7,Honda,Wave,45800,Xe số,100 - 175 cc,Việt Nam,"DƯ XE NÊN CẦN BÁN EM WAVE BLADE 2016 BSTP Xe Wave Blade 2016 zin nữ chạy nên còn rất mới, máy móc êm ru, bao công chứng uỷ quyền .",9,Honda Wave
12.5,10.49,12.31,Quận 7,Piaggio,LX,30000,Tay ga,100 - 175 cc,Việt Nam,"Vespa LX125 2013 FI bsthcm, 2 chìa zin Bán xe Vespa LX125 2013 FI phun xăng điện tử, kính thảm bao tay zin trên xe, đủ 2 chìa chống trộm zin. Xe đi rất kỹ, bảo dưỡng định kỳ ở hãng có lịch sử. Đời chủ 2 công chứng ủy quyền, giấy tờ đầy đủ. tình trạng xe ngon lành, đổ xăng đi thôi, ngoại hình ngon chỉ vài vết xướt theo thời gian ko đáng kể, tặng khung inox. Xem xe trực tiếp ở quận Bảy",12,Piaggio LX
10.5,10.02,11.76,Quận 7,Honda,Air Blade,50000,Tay ga,100 - 175 cc,Nhật Bản,"Air balde 2011,BSTP Mới đổi xe mới , cần bán xe Air balde bstp chạy đã lâu , xe còn đẹp như hình , mày móc zin êm , về ko tốn đồng nào , xe bán tại nhà bao tranh chấp chọn đời .",14,Honda Air Blade
26.5,19.01,22.32,Quận 7,Piaggio,Vespa,41547,Tay ga,100 - 175 cc,Việt Nam,"BÁN XE VESPA GIÁ RẺ Xe nữ đi ít, chạy ngon
-Xem xe tại quận 7",11,Piaggio Vespa
13,21.28785714,24.99214286,Quận 7,Honda,MSX 125,300000,Tay côn/Moto,100 - 175 cc,Nhật Bản,"cần bán mxs 2012 xe nữ đi Mxs nguyên zin 
Bs bình dương 
Giá còn thương lượng",13,Honda MSX 125
48,44.41,52.13,Quận 7,Honda,SH,80000,Tay ga,100 - 175 cc,Việt Nam,"SH. 150i. Bán Lại Em Nó Cho Người Cần. Bán nhanh cho người cần.
Nay bán lại em nó cho người cần dùng
Ít hao xăng lắm. Đổ 100k đi hơn 200km khoẻ re
Mua về đi thôi ko cần sửa gì đâu. Xe vẫn còn dán keo. Đi kỉ lắm còn mới tin à.
Muốn mua xe củ lại mà cảm giác yên tâm thì anh, chị cứ xem.",9,Honda SH
2.8,2.76,3.24,Quận 7,Kawasaki,Max,686868,Xe số,50 - 100 cc,Hàn Quốc,"Xe max đi cày Bán cho ai cần, giấy tờ đầy đủ, máy cực kỳ êm, đủ chức năng, tiết kiệm xăng, bao cày bừa, kv HCM có ship",12,Kawasaki Max
30,28,32.86,Quận 7,Honda,Vision,15000,Tay ga,100 - 175 cc,Nhật Bản,"xe chính chủ Xe nhà dư bán 
Xem xe quận 7 gọi trước khi qua nha",2,Honda Vision
13,15.13,17.76,Quận 7,Honda,PCX,65000,Tay ga,100 - 175 cc,Việt Nam,"Bán xe pcx 2013 ít đi. Xe có cavet , hợp đồng công chừng đầy đủ, ai mua tự đi rút hồ sơ sang tên . Gọi không được để lại tin nhắn vì tôi bận lái xe.",12,Honda PCX
2.9,6.14,7.21,Quận 7,Honda,Chaly,20000,Xe số,Dưới 50 cc,Nhật Bản,"CHALY SƯỜN KO MỤC LỦNG
MÁY ĐÃ LÊN ĐỀ GẦM
ĐÃ TEST ĐỀ CÒN HOẠT ĐỘNG,AE VỀ GẮN BÌNH VÔ XÀI
MÁY ÊM
GIÁ 2.900.000VND
KO SHIP COD
XEM XE SG Q7
AE MUA GÌ RÃ BÁN LUÔN",46,Honda Chaly
16.5,9.35,10.98,Quận 7,Honda,Blade,15000,Xe số,100 - 175 cc,Việt Nam,Xe bleach 110cc.bstp 9 chủ Nhà xe it di tốt xe bstp chính chủ cong chứng hợp pháp,7,Honda Blade
75,55.2,64.8,Quận 7,Honda,SH,21374,Tay ga,100 - 175 cc,Việt Nam,"Sh 150i 2017 - Ko còn nhu cầu sử dụng nên cần bán Giữ xe cẩn thận - như mới
Không va chạm trầy xước 
Không qua trung gian
Xe ít sử dụng - không chạy nhiều",8,Honda SH
18.9,17.83,20.93,Quận 7,Honda,Winner X,36000,Tay côn/Moto,100 - 175 cc,Việt Nam,"ÍT ĐI CẦN PASS LẠI CHO ANH EM 1 EM PHIÊN BẢN CABO Mâm đẹp 
Xe đi kỹ 
Anh em thiện chí fix nhẹ cho anh em đi",4,Honda Winner X
24,22.82,26.79,Quận 7,Honda,PCX,160000,Tay ga,100 - 175 cc,Việt Nam,"Bán Xe PCX Mình bán xe PCX chính chủ 1 đời, xe bảo hành hãng, mới vừa sơn lại, xem tại LTC Quận 7, cà vẹt đầy đủ",11,Honda PCX
28.5,20.71,24.32,Quận 7,Honda,Air Blade,50000,Tay ga,100 - 175 cc,Đang cập nhật,"airblade 2017 Dư cần bán lại con ab 2017 vô chút đồ chơi tay rcb phuộc sau rcb, mâm vario, full ốc salaza, heo thái nissin thai, máy móc bao zin chưa đụng chạm, bán cho ae thật sự cần alo em cò lái ép giá tha em",8,Honda Air Blade
36,32.11,37.7,Quận 7,Honda,Vario,36999,Tay ga,100 - 175 cc,Nước khác,"Cần bán Vario 150 đăng ký 01/2021 cực đẹp Chính chủ TP HCM khu vực quận 07 do nhu cầu đổi xe lên đời em cần ra đi em Vario 150 2019 đen nhám một chiếc xe độ tâm huyết của cá nhân em đăng ký 01/2021 một đời chủ biển Tỉnh!

Odo 37.000km ( cam kết zin xịn theo xe, máy nguyên zin chưa rớt, bảo dưỡng thường xuyên đều đặn) bao check test thoải mái trước khi mua, còn đủ 2 chìa khoá.

Vừa lên build đồ hơn 1 tuần:

+ Phuộc OHLINS Mod Real kèm HPA còn hộp
+ Bọc yên kèm nệm loại xịn bên Anh Hoàng Thiện 
+ Bộ mâm CNC FHF kèm đĩa ( loại gì mình ko nhớ kỹ ) còn hộp
+ Che két nước CNC
+ Bộ chống đứng chống chống nghiên inox 304 xịn
+ Cặp tay thắng
+ Chắn bùn AB, ốp Pô AB
+ cổ Pô Inox 
+ Pô zin theo xe đã móc nhẹ ấm trầm rất hay 
+ Mặt nạ Click đen bóng cực đẹp ( còn mặt nạ zin )
+ mới thay 2 vỏ Yoko
Lưu ý: do hao mòn tự nhiên, em đã thay mica đèn pha, mica đồng hồ và sơn lại dàn áo theo đúng màu zin - đen nhám! Anh em mua về chơi đỡ mất thời gian phải dọn lại.


Đồ zin còn đủ: 2 mâm zin, bộ chống zin, cặp tay thắng zin, mặt nạ zin.

Giá mình mong muốn bán 36tr

Anh Em thiện chí có nhu cầu thật sự xin liên hệ mình *** Xin cảm ơn!",4,Honda Vario
9.8,10.91,12.81,Quận 7,Honda,Dòng khác,2000,Tay ga,Dưới 50 cc,Nhật Bản,"Dio 2 thì 50cc không cần bằng lái Xe êm đạp là nổ có đề xe vừa làm lại đèn đóm, thay bình, căng chỉnh
Còn tin là con xe",15,Honda Dòng khác
14.5,15.48,18.17,Quận 7,Honda,Vision,333333,Tay ga,100 - 175 cc,Việt Nam,"Thanh lý xe Vision 2015 bs đẹp Cầm đồ thanh lý xe Vision 2015 
Giao cavet, căn cước chủ xe
Biển số 62M1 -333.55 ( bs dễ nhớ)",10,Honda Vision
9,10.02,11.76,Quận 7,Honda,Air Blade,333333,Tay ga,100 - 175 cc,Việt Nam,"Thanh lý xe AB đầu bò 2011 biển SG Cầm đồ thanh lý xe AB đầu bò 2011 
Giao căn cước chủ xe, hợp đồng ủy quyền
Biển số 59U1-096.68 
Xem xe địa chỉ : Lâm Văn Bền, phường Tân Thuận Tây, q7",14,Honda Air Blade
75,62.76,73.68,Quận 7,Honda,SH,60000,Tay ga,100 - 175 cc,Việt Nam,"xe chính chủ Cần bán xe SH150i ABS đăng ký tháng 8-2019
Xe nữ chính chủ không qua trung gian
Odo chuẩn bảo đảm k tua odo
Xe đã sơn lại kiểu sporty
Ai thiện chí xem xe quận 7 ngoài giờ hành chính",6,Honda SH
12,13.82,16.22,Quận 7,Yamaha,Exciter,30999,Tay côn/Moto,100 - 175 cc,Nhật Bản,ex 135 up lc lỏ máy 57kck êm Ex up lc 90% máy 57kck êm nhẹ dàn hơi mạnh vặn là có k9c bst,13,Yamaha Exciter
2.9,11.52,13.52,Quận 7,Honda,Wave,1000,Xe số,100 - 175 cc,Trung Quốc,"Wave Xe gtdd mới làm máy bao êm mua bán tại nhà, bao tranh chấp",21,Honda Wave
3.5,3.49,4.1,Quận 7,SYM,Elegant,5000,Xe số,50 - 100 cc,Việt Nam,"cần bán xe máy liên hệ *** Cần bán xe máy liên hệ ***
Địa chỉ 156/26 huỳnh tấn phát quận 7",16,SYM Elegant
4.2,6.82,8.01,Quận 7,Honda,Wave,868686,Xe số,50 - 100 cc,Nhật Bản,"Xe wave đi làm Bán cho ai cần, giấy tờ đầy đủ, máy êm, đủ chức năng, xe còn rất đẹp, đi cày bừa tốt, kV HCM có ship",17,Honda Wave
12.8,15.19,17.83,Quận 7,Honda,Air Blade,32000,Tay ga,100 - 175 cc,Đang cập nhật,"Honda Ab Air Blade 125,đời 2014,Xe đẹp Không có nhu cầu sử dụng nữa,nên cần bán lại xe:
- Honda Air Blade 125,đời 2014
- Xe BS 60,Không Chính Chủ,mua bán viết giấy tay bao tranh chấp cho người mua
- Xe nhà sử dụng Kỹ,nên dàn ngoài còn mới 98%
- Máy móc Rất Êm,mua về sử dụng ngay
- Tiếp Anh,Chị,Em Thiện Chí,thực sự mua về để sử dụng
- Xin Cảm ơn",11,Honda Air Blade
18,30.5,35.8,Quận 7,Honda,CG125Fi,216847,Tay côn/Moto,100 - 175 cc,Đài Loan,"cg125 chính chủ hqcn Tình trạng xe ok do làm dáng này bánh to nên là tải hơi yếu so với xác hạ bánh hạ gấp xe chạy nhẹ hơn
Tphcm q7 
Sang tên nên bán rẻ để anh em về dọn lại",4,Honda CG125Fi
12.5,11.6,13.62,Quận 7,Yamaha,Sirius,70000,Xe số,100 - 175 cc,Đang cập nhật,"Cần tiền bán gấp xe Sirius Cần tiền bán gấp sirius fi 2022
Xe không chính chủ còn liên lạc với chủ củ của xe 
Xe nhẹ máy êm ko tiếng động lạ 
Vỏ xe mới thay 1 căp không ruột 
Phuộc mới thay 
Thích hợp cho anh chị em về chạy grap hay cho vợ đi chợ xe về đổ xăng là chạy ko làm thêm gì 
Tình trạng xe có té ngã 1 lần trầy nhẹ ko ảnh hưởng",3,Yamaha Sirius
3.5,3.95,4.64,Quận 7,Hãng khác,Dòng khác,1,Xe số,100 - 175 cc,Trung Quốc,Wawe tq máy im Bán xe cho ae đi cày.xe máy mới làn im manh.bao tranh chấp qt ib,17,Hãng khác Dòng khác
7.5,7.36,8.64,Quận 7,Honda,Click,80000,Tay ga,100 - 175 cc,Việt Nam,"Bán xe click 2007,xe zin ,dàn áo liền lạc,k9c Click 2007,xe zin,dàn áo liền lạc,gtdd
Xem xe ở 441 lê văn lương",18,Honda Click
69.5,55.2,64.8,Quận 7,Honda,SH,47000,Tay ga,100 - 175 cc,Việt Nam,"shvn 150 abs 2017 bstp 9c Cần bán lại xe ít đi còn cứng cáp
Xe gd dùng bảo dưỡng kỹ máy móc nguyên zin 
Bstp 9c mua bán xem xe tại nhà",8,Honda SH
6.9,6.83,8.02,Quận 7,Yamaha,Luvias,25000,Tay ga,100 - 175 cc,Việt Nam,luvias 2013 bs61 giấy tờ đầy đủ máy móc êm Luvias đời 2013 gtdd máy móc bao mạnh xe rất êm,12,Yamaha Luvias
11,14.51,17.04,Quận 7,Yamaha,Exciter,25000,Tay côn/Moto,50 - 100 cc,Nhật Bản,"Bán xe Exciter 135 Liên hệ nhận xe tại huỳnh tấn phát quận 7 TPHCM
Sdt ***",12,Yamaha Exciter
16.5,14.57,17.1,Quận 7,Honda,Winner,28000,Tay côn/Moto,100 - 175 cc,Nhật Bản,"Xe winder v1 Kẹt tiền bán xe winder v1 biến số TP màu vàng đen. Xe zin. Lúc mua ở cửa hàng 17,5 tr về thay vỏ thay tay thắng làm mới hết 2 tr nữa? Xe bao đẹp bao zin cho ae. Xe sang tên hoặc ủy quyền được hết(hiện xe đang ở tiệm cầm đồ hết 8tr)",7,Honda Winner
8.5,8.35,9.81,Quận 7,Yamaha,Sirius,43448,Xe số,100 - 175 cc,Việt Nam,"Thanh lý Sirius Fi 2017 Cầm đồ thanh lý xe btc
Sirius Fi 2017 Giấy tờ đầy đủ
Bs Long An 62M1 -437.44
Xe nguyên zin, full chức năng
Máy móc êm ru, dàn ngoài liền lạc
Coi xe tại: Lâm Văn Bền, phường Tân Thuận Tây, Q7",8,Yamaha Sirius
2.8,11.95,14.03,Quận 7,Honda,Cub,65896,Xe số,Dưới 50 cc,Nhật Bản,"Cub 50 máy 100 Cub 50 giấy tờ đầy đủ bstp
Máy lên dên đầu lòng 100 alpha
Gắp zin custom
Máy móc êm",32,Honda Cub
30,28,32.86,Quận 7,Honda,Vision,15000,Tay ga,100 - 175 cc,Nhật Bản,"xe chính chủ Xe nhà dư chạy 
Xem xe quận 7 gọi trước khi tới nha",2,Honda Vision
11,9.35,10.98,Quận 7,Honda,Blade,100000,Xe số,100 - 175 cc,Nhật Bản,"Cần ra đi xe blade nhật k9c Mới mua xe mới cho zk cần để lại cho ai cần.
Xe chạy kĩ máy bock ai cần lh.",7,Honda Blade
31,26,30.52,Quận 7,Yamaha,PG-1,4200,Xe số,100 - 175 cc,Nước khác,CẦN BÁN PG1 MÀU ĐEN NHƯ HÌNH Cần bán xe pg1 màu đen như hình ạ . Xe lên sơ sơ vài món đồ chơi rồi ạ . Do tính mua đi phượt mà bận quá ít chạy nên nhượng lại . Xe chạy dưới 5000km còn khá mới . Ae nào thiện chí nhanh gọn liên hệ e,1,Yamaha PG-1
12,13.38,15.71,Quận 7,Honda,Winner,50000,Tay côn/Moto,100 - 175 cc,Việt Nam,"bán xe winner máy zin chưa rớt chưa đụng chạm máy Xe zin mua đi học đại học
Xe cha đứng tên, mua sang tên hoặc bao chanh chấp đều bán 
Xe còn êm, xe chưa can thiệp gì tới máy móc 
Xe còn đẹp cứng
Em con trai đứng ra bán dùm có catvet sẵn, có căn cước cha",8,Honda Winner
